node D L T
2056631 0.0105952 0.815743 0.529761
2593994 0.0105952 0.815743 0.529761
1867258 0.0105952 0.815743 0.529761
2478471 0.0105952 0.815743 0.529761
374847 0.0105952 0.815743 0.529761
1978162 0.0105952 0.815743 0.529761
1978166 0.0105952 0.815743 0.529761
1978160 0.0105952 0.815743 0.529761
1978157 0.0105952 0.815743 0.529761
1978155 0.0105952 0.815743 0.529761
1978156 0.0105952 0.815743 0.529761
1293586 0.0105952 0.815743 0.529761
999630 0.0105952 0.815743 0.529761
397948 0.0105952 0.815743 0.529761
62609 0.0105952 0.815743 0.529761
368408 0.0105952 0.815743 0.529761
697581 0.0105952 0.815743 0.529761
1550241 0.0105952 0.815743 0.529761
2776706 0.0105952 0.815743 0.529761
671065 0.0105952 0.815743 0.529761
555311 0.0105952 0.815743 0.529761
1670455 0.0105952 0.815743 0.529761
1294262 0.0105952 0.815743 0.529761
282676 0.0105952 0.815743 0.529761
619593 0.0105952 0.815743 0.529761
1160895 0.0105952 0.815743 0.529761
12915 0.0105952 0.815743 0.529761
41673 0.0105952 0.815743 0.529761
2824673 0.0105952 0.815743 0.529761
41675 0.0105952 0.815743 0.529761
2049879 0.0105952 0.815743 0.529761
273063 0.0105952 0.815743 0.529761
69656 0.0105952 0.815743 0.529761
207809 0.0105952 0.815743 0.529761
330779 0.0105952 0.815743 0.529761
1056495 0.0105952 0.815743 0.529761
666510 0.0105952 0.815743 0.529761
694429 0.0105952 0.815743 0.529761
415426 0.0105952 0.815743 0.529761
2309 0.0105952 0.815743 0.529761
1273541 0.0105952 0.815743 0.529761
399550 0.0105952 0.815743 0.529761
1198449 0.0105952 0.815743 0.529761
1184251 0.0105952 0.815743 0.529761
3402707 0.0105952 0.815743 0.529761
1973259 0.0105952 0.815743 0.529761
940295 0.0105952 0.815743 0.529761
453591 0.0105952 0.815743 0.529761
940294 0.0105952 0.815743 0.529761
765177 0.0105952 0.815743 0.529761
768672 0.0105952 0.815743 0.529761
3050454 0.0105952 0.815743 0.529761
583356 0.0105952 0.815743 0.529761
1685124 0.0105952 0.815743 0.529761
1685125 0.0105952 0.815743 0.529761
1685127 0.0105952 0.815743 0.529761
1874277 0.0105952 0.815743 0.529761
414004 0.0105952 0.815743 0.529761
1499975 0.0105952 0.815743 0.529761
1078905 0.0105952 0.815743 0.529761
1903276 0.0105952 0.815743 0.529761
2058097 0.0105952 0.815743 0.529761
1353260 0.0105952 0.815743 0.529761
1798806 0.0105952 0.815743 0.529761
2035267 0.0105952 0.815743 0.529761
1459636 0.0105952 0.815743 0.529761
1237085 0.0105952 0.815743 0.529761
926571 0.0105952 0.815743 0.529761
1470067 0.0105952 0.815743 0.529761
718286 0.0105952 0.815743 0.529761
1959104 0.0105952 0.815743 0.529761
1229909 0.0105952 0.815743 0.529761
1580092 0.0105952 0.815743 0.529761
1898749 0.0105952 0.815743 0.529761
886738 0.0105952 0.815743 0.529761
859192 0.0105952 0.815743 0.529761
1001994 0.0105952 0.815743 0.529761
1980982 0.0105952 0.815743 0.529761
311458 0.0105952 0.815743 0.529761
1410606 0.0105952 0.815743 0.529761
1603555 0.0105952 0.815743 0.529761
1407055 0.0105952 0.815743 0.529761
2511932 0.0105952 0.815743 0.529761
1502293 0.0105952 0.815743 0.529761
1841599 0.0105952 0.815743 0.529761
2876573 0.0105952 0.815743 0.529761
2951803 0.0105952 0.815743 0.529761
2594042 0.0105952 0.815743 0.529761
2565781 0.0105952 0.815743 0.529761
3101447 0.0105952 0.815743 0.529761
1803513 0.0105952 0.815743 0.529761
2756139 0.0105952 0.815743 0.529761
2756141 0.0105952 0.815743 0.529761
662760 0.0105952 0.815743 0.529761
662762 0.0105952 0.815743 0.529761
2898728 0.0105952 0.815743 0.529761
1940235 0.0105952 0.815743 0.529761
2586965 0.0105952 0.815743 0.529761
1294122 0.0105952 0.815743 0.529761
228908 0.0105952 0.815743 0.529761
1920749 0.0105952 0.815743 0.529761
2795018 0.0105952 0.815743 0.529761
2885759 0.0105952 0.815743 0.529761
425595 0.0105952 0.815743 0.529761
1838285 0.0105952 0.815743 0.529761
1839936 0.0105952 0.815743 0.529761
1776334 0.0105952 0.815743 0.529761
439481 0.0105952 0.815743 0.529761
2599289 0.0105952 0.815743 0.529761
1888997 0.0105952 0.815743 0.529761
1889001 0.0105952 0.815743 0.529761
1888996 0.0105952 0.815743 0.529761
2173149 0.0105952 0.815743 0.529761
2823368 0.0105952 0.815743 0.529761
1577791 0.0105952 0.815743 0.529761
1295009 0.0105952 0.815743 0.529761
399579 0.0105952 0.815743 0.529761
1122961 0.0105952 0.815743 0.529761
1673428 0.0105952 0.815743 0.529761
273075 0.0105952 0.815743 0.529761
273116 0.0105952 0.815743 0.529761
3073602 0.0105952 0.815743 0.529761
74969 0.0105952 0.815743 0.529761
333146 0.0105952 0.815743 0.529761
507754 0.0105952 0.815743 0.529761
312540 0.0105952 0.815743 0.529761
272844 0.0105952 0.815743 0.529761
186497 0.0105952 0.815743 0.529761
529709 0.0105952 0.815743 0.529761
70601 0.0105952 0.815743 0.529761
1609559 0.0105952 0.815743 0.529761
1343739 0.0105952 0.815743 0.529761
1432656 0.0105952 0.815743 0.529761
523849 0.0105952 0.815743 0.529761
604354 0.0105952 0.815743 0.529761
69014 0.0105952 0.815743 0.529761
593117 0.0105952 0.815743 0.529761
163003 0.0105952 0.815743 0.529761
1505907 0.0105952 0.815743 0.529761
227598 0.0105952 0.815743 0.529761
2586643 0.0105952 0.815743 0.529761
90909 0.0105952 0.815743 0.529761
582419 0.0105952 0.815743 0.529761
187880 0.0105952 0.815743 0.529761
54262 0.0105952 0.815743 0.529761
53952 0.0105952 0.815743 0.529761
49899 0.0105952 0.815743 0.529761
277988 0.0105952 0.815743 0.529761
2866384 0.0105952 0.815743 0.529761
110163 0.0105952 0.815743 0.529761
1712654 0.0105952 0.815743 0.529761
72803 0.0105952 0.815743 0.529761
71997 0.0105952 0.815743 0.529761
1903181 0.0105952 0.815743 0.529761
1927129 0.0105952 0.815743 0.529761
565033 0.0105952 0.815743 0.529761
113653 0.0105952 0.815743 0.529761
589924 0.0105952 0.815743 0.529761
572546 0.0105952 0.815743 0.529761
387631 0.0105952 0.815743 0.529761
693661 0.0105952 0.815743 0.529761
1344584 0.0105952 0.815743 0.529761
1698284 0.0105952 0.815743 0.529761
1698285 0.0105952 0.815743 0.529761
1698283 0.0105952 0.815743 0.529761
1698281 0.0105952 0.815743 0.529761
1698280 0.0105952 0.815743 0.529761
1698279 0.0105952 0.815743 0.529761
1698278 0.0105952 0.815743 0.529761
1698277 0.0105952 0.815743 0.529761
1698275 0.0105952 0.815743 0.529761
1698273 0.0105952 0.815743 0.529761
1698272 0.0105952 0.815743 0.529761
1698271 0.0105952 0.815743 0.529761
1698270 0.0105952 0.815743 0.529761
1698268 0.0105952 0.815743 0.529761
1698263 0.0105952 0.815743 0.529761
1698259 0.0105952 0.815743 0.529761
1698257 0.0105952 0.815743 0.529761
1698267 0.0105952 0.815743 0.529761
1698266 0.0105952 0.815743 0.529761
2491083 0.0105952 0.815743 0.529761
2491085 0.0105952 0.815743 0.529761
1008153 0.0105952 0.815743 0.529761
795797 0.0105952 0.815743 0.529761
175632 0.0105952 0.815743 0.529761
1227457 0.0105952 0.815743 0.529761
1132509 0.0105952 0.815743 0.529761
1227456 0.0105952 0.815743 0.529761
1227455 0.0105952 0.815743 0.529761
931277 0.0105952 0.815743 0.529761
179637 0.0105952 0.815743 0.529761
1604004 0.0105952 0.815743 0.529761
555573 0.0105952 0.815743 0.529761
3032283 0.0105952 0.815743 0.529761
1383812 0.0105952 0.815743 0.529761
1873524 0.0105952 0.815743 0.529761
489913 0.0105952 0.815743 0.529761
1261545 0.0105952 0.815743 0.529761
489912 0.0105952 0.815743 0.529761
1193105 0.0105952 0.815743 0.529761
355548 0.0105952 0.815743 0.529761
1407499 0.0105952 0.815743 0.529761
2597657 0.0105952 0.815743 0.529761
478009 0.0105952 0.815743 0.529761
2039234 0.0105952 0.815743 0.529761
2692200 0.0105952 0.815743 0.529761
2234134 0.0105952 0.815743 0.529761
1364945 0.0105952 0.815743 0.529761
2212850 0.0105952 0.815743 0.529761
3034023 0.0105952 0.815743 0.529761
2934340 0.0105952 0.815743 0.529761
2934937 0.0105952 0.815743 0.529761
1785090 0.0105952 0.815743 0.529761
268739 0.0105952 0.815743 0.529761
348780 0.0105952 0.815743 0.529761
2841590 0.0105952 0.815743 0.529761
2217661 0.0105952 0.815743 0.529761
3033386 0.0105952 0.815743 0.529761
3033939 0.0105952 0.815743 0.529761
