node D L T
2565781 0.0055001 0.876323 0.275005
3101447 0.0055001 0.876323 0.275005
1803513 0.0055001 0.876323 0.275005
2756139 0.0055001 0.876323 0.275005
2756141 0.0055001 0.876323 0.275005
2898728 0.0055001 0.876323 0.275005
662760 0.0055001 0.876323 0.275005
1940235 0.0055001 0.876323 0.275005
2586965 0.0055001 0.876323 0.275005
1294122 0.0055001 0.876323 0.275005
228908 0.0055001 0.876323 0.275005
1920749 0.0055001 0.876323 0.275005
2795018 0.0055001 0.876323 0.275005
2885759 0.0055001 0.876323 0.275005
425595 0.0055001 0.876323 0.275005
1841599 0.0055001 0.876323 0.275005
2876572 0.0055001 0.876323 0.275005
2594042 0.0055001 0.876323 0.275005
2951803 0.0055001 0.876323 0.275005
1874277 0.0055001 0.876323 0.275005
414004 0.0055001 0.876323 0.275005
859192 0.0055001 0.876323 0.275005
1470067 0.0055001 0.876323 0.275005
2058097 0.0055001 0.876323 0.275005
1499975 0.0055001 0.876323 0.275005
1078905 0.0055001 0.876323 0.275005
1353260 0.0055001 0.876323 0.275005
1798806 0.0055001 0.876323 0.275005
1459636 0.0055001 0.876323 0.275005
1237085 0.0055001 0.876323 0.275005
2511932 0.0055001 0.876323 0.275005
1603555 0.0055001 0.876323 0.275005
311458 0.0055001 0.876323 0.275005
1980982 0.0055001 0.876323 0.275005
1410606 0.0055001 0.876323 0.275005
1685127 0.0055001 0.876323 0.275005
1685124 0.0055001 0.876323 0.275005
1978156 0.0055001 0.876323 0.275005
1867258 0.0055001 0.876323 0.275005
2056631 0.0055001 0.876323 0.275005
1978157 0.0055001 0.876323 0.275005
1978158 0.0055001 0.876323 0.275005
2478471 0.0055001 0.876323 0.275005
374847 0.0055001 0.876323 0.275005
985053 0.0055001 0.876323 0.275005
768679 0.0055001 0.876323 0.275005
62609 0.0055001 0.876323 0.275005
1550241 0.0055001 0.876323 0.275005
2776706 0.0055001 0.876323 0.275005
368408 0.0055001 0.876323 0.275005
273063 0.0055001 0.876323 0.275005
2824673 0.0055001 0.876323 0.275005
1670455 0.0055001 0.876323 0.275005
671065 0.0055001 0.876323 0.275005
1006006 0.0055001 0.876323 0.275005
47304 0.0055001 0.876323 0.275005
41673 0.0055001 0.876323 0.275005
12915 0.0055001 0.876323 0.275005
1702097 0.0055001 0.876323 0.275005
419942 0.0055001 0.876323 0.275005
1056495 0.0055001 0.876323 0.275005
666510 0.0055001 0.876323 0.275005
768672 0.0055001 0.876323 0.275005
1184251 0.0055001 0.876323 0.275005
3402707 0.0055001 0.876323 0.275005
583356 0.0055001 0.876323 0.275005
399550 0.0055001 0.876323 0.275005
1973259 0.0055001 0.876323 0.275005
940294 0.0055001 0.876323 0.275005
453591 0.0055001 0.876323 0.275005
54256 0.0055001 0.876323 0.275005
439481 0.0055001 0.876323 0.275005
2599289 0.0055001 0.876323 0.275005
2173149 0.0055001 0.876323 0.275005
1889001 0.0055001 0.876323 0.275005
2823368 0.0055001 0.876323 0.275005
1295009 0.0055001 0.876323 0.275005
1236689 0.0055001 0.876323 0.275005
399579 0.0055001 0.876323 0.275005
1122961 0.0055001 0.876323 0.275005
1673428 0.0055001 0.876323 0.275005
273075 0.0055001 0.876323 0.275005
273116 0.0055001 0.876323 0.275005
3073602 0.0055001 0.876323 0.275005
74969 0.0055001 0.876323 0.275005
507754 0.0055001 0.876323 0.275005
1776334 0.0055001 0.876323 0.275005
1903181 0.0055001 0.876323 0.275005
1927129 0.0055001 0.876323 0.275005
2491083 0.0055001 0.876323 0.275005
523849 0.0055001 0.876323 0.275005
604354 0.0055001 0.876323 0.275005
1432656 0.0055001 0.876323 0.275005
582419 0.0055001 0.876323 0.275005
53952 0.0055001 0.876323 0.275005
2866384 0.0055001 0.876323 0.275005
72803 0.0055001 0.876323 0.275005
186497 0.0055001 0.876323 0.275005
589924 0.0055001 0.876323 0.275005
113653 0.0055001 0.876323 0.275005
693661 0.0055001 0.876323 0.275005
387631 0.0055001 0.876323 0.275005
1698275 0.0055001 0.876323 0.275005
1698279 0.0055001 0.876323 0.275005
1698270 0.0055001 0.876323 0.275005
1698267 0.0055001 0.876323 0.275005
1698280 0.0055001 0.876323 0.275005
351160 0.0055001 0.876323 0.275005
1041930 0.0055001 0.876323 0.275005
2052831 0.0055001 0.876323 0.275005
349307 0.0055001 0.876323 0.275005
2759912 0.0055001 0.876323 0.275005
2759913 0.0055001 0.876323 0.275005
660064 0.0055001 0.876323 0.275005
2608793 0.0055001 0.876323 0.275005
2759911 0.0055001 0.876323 0.275005
1839936 0.0055001 0.876323 0.275005
1392998 0.0055001 0.876323 0.275005
867904 0.0055001 0.876323 0.275005
3028293 0.0055001 0.876323 0.275005
1277351 0.0055001 0.876323 0.275005
156457 0.0055001 0.876323 0.275005
456442 0.0055001 0.876323 0.275005
3028299 0.0055001 0.876323 0.275005
937775 0.0055001 0.876323 0.275005
2735141 0.0055001 0.876323 0.275005
1705564 0.0055001 0.876323 0.275005
268739 0.0055001 0.876323 0.275005
2212850 0.0055001 0.876323 0.275005
1364945 0.0055001 0.876323 0.275005
2934340 0.0055001 0.876323 0.275005
2934937 0.0055001 0.876323 0.275005
2071873 0.0055001 0.876323 0.275005
671145 0.0055001 0.876323 0.275005
175632 0.0055001 0.876323 0.275005
795797 0.0055001 0.876323 0.275005
1227456 0.0055001 0.876323 0.275005
1227457 0.0055001 0.876323 0.275005
2937524 0.0055001 0.876323 0.275005
2938695 0.0055001 0.876323 0.275005
1008152 0.0055001 0.876323 0.275005
2692200 0.0055001 0.876323 0.275005
489912 0.0055001 0.876323 0.275005
555573 0.0055001 0.876323 0.275005
1383812 0.0055001 0.876323 0.275005
755308 0.0055001 0.876323 0.275005
755306 0.0055001 0.876323 0.275005
2841257 0.0055001 0.876323 0.275005
1033806 0.0055001 0.876323 0.275005
767519 0.0055001 0.876323 0.275005
869886 0.0055001 0.876323 0.275005
1679096 0.0055001 0.876323 0.275005
2692199 0.0055001 0.876323 0.275005
869890 0.0055001 0.876323 0.275005
2950539 0.0055001 0.876323 0.275005
43776 0.0055001 0.876323 0.275005
2950534 0.0055001 0.876323 0.275005
2917711 0.0055001 0.876323 0.275005
926360 0.0055001 0.876323 0.275005
1095778 0.0055001 0.876323 0.275005
745377 0.0055001 0.876323 0.275005
797299 0.0055001 0.876323 0.275005
1679083 0.0055001 0.876323 0.275005
2055836 0.0055001 0.876323 0.275005
2979988 0.0055001 0.876323 0.275005
2419781 0.0055001 0.876323 0.275005
1849069 0.0055001 0.876323 0.275005
2448032 0.0055001 0.876323 0.275005
1227493 0.0055001 0.876323 0.275005
2741724 0.0055001 0.876323 0.275005
2816475 0.0055001 0.876323 0.275005
1710539 0.0055001 0.876323 0.275005
797303 0.0055001 0.876323 0.275005
2691917 0.0055001 0.876323 0.275005
588898 0.0055001 0.876323 0.275005
869891 0.0055001 0.876323 0.275005
1238424 0.0055001 0.876323 0.275005
1048396 0.0055001 0.876323 0.275005
1776492 0.0055001 0.876323 0.275005
699433 0.0055001 0.876323 0.275005
43928 0.0055001 0.876323 0.275005
1364933 0.0055001 0.876323 0.275005
1126234 0.0055001 0.876323 0.275005
2917812 0.0055001 0.876323 0.275005
2743089 0.0055001 0.876323 0.275005
2743090 0.0055001 0.876323 0.275005
1515593 0.0055001 0.876323 0.275005
699431 0.0055001 0.876323 0.275005
1748331 0.0055001 0.876323 0.275005
523841 0.0055001 0.876323 0.275005
2487751 0.0055001 0.876323 0.275005
456320 0.0055001 0.876323 0.275005
243232 0.0055001 0.876323 0.275005
49547 0.0055001 0.876323 0.275005
868131 0.0055001 0.876323 0.275005
519541 0.0055001 0.876323 0.275005
37863 0.0055001 0.876323 0.275005
1974546 0.0055001 0.876323 0.275005
1801733 0.0055001 0.876323 0.275005
1817865 0.0055001 0.876323 0.275005
2250252 0.0055001 0.876323 0.275005
2268124 0.0055001 0.876323 0.275005
2030807 0.0055001 0.876323 0.275005
2212470 0.0055001 0.876323 0.275005
1817863 0.0055001 0.876323 0.275005
2841693 0.0055001 0.876323 0.275005
2024889 0.0055001 0.876323 0.275005
1499967 0.0055001 0.876323 0.275005
1627895 0.0055001 0.876323 0.275005
3239303 0.0055001 0.876323 0.275005
1223518 0.0055001 0.876323 0.275005
546414 0.0055001 0.876323 0.275005
693977 0.0055001 0.876323 0.275005
1211322 0.0055001 0.876323 0.275005
1706855 0.0055001 0.876323 0.275005
649638 0.0055001 0.876323 0.275005
1227551 0.0055001 0.876323 0.275005
1408545 0.0055001 0.876323 0.275005
526227 0.0055001 0.876323 0.275005
1005740 0.0055001 0.876323 0.275005
580340 0.0055001 0.876323 0.275005
3029084 0.0055001 0.876323 0.275005
133532 0.0055001 0.876323 0.275005
469381 0.0055001 0.876323 0.275005
2754 0.0055001 0.876323 0.275005
584708 0.0055001 0.876323 0.275005
508460 0.0055001 0.876323 0.275005
1197717 0.0055001 0.876323 0.275005
717231 0.0055001 0.876323 0.275005
747365 0.0055001 0.876323 0.275005
2528274 0.0055001 0.876323 0.275005
479434 0.0055001 0.876323 0.275005
187145 0.0055001 0.876323 0.275005
156 0.0055001 0.876323 0.275005
545694 0.0055001 0.876323 0.275005
2840669 0.0055001 0.876323 0.275005
1963862 0.0055001 0.876323 0.275005
573413 0.0055001 0.876323 0.275005
2518645 0.0055001 0.876323 0.275005
252967 0.0055001 0.876323 0.275005
869212 0.0055001 0.876323 0.275005
959 0.0055001 0.876323 0.275005
1184267 0.0055001 0.876323 0.275005
1513793 0.0055001 0.876323 0.275005
1974746 0.0055001 0.876323 0.275005
2697043 0.0055001 0.876323 0.275005
2093366 0.0055001 0.876323 0.275005
313628 0.0055001 0.876323 0.275005
2606640 0.0055001 0.876323 0.275005
760260 0.0055001 0.876323 0.275005
1936003 0.0055001 0.876323 0.275005
247490 0.0055001 0.876323 0.275005
1930276 0.0055001 0.876323 0.275005
980251 0.0055001 0.876323 0.275005
2528011 0.0055001 0.876323 0.275005
2707525 0.0055001 0.876323 0.275005
2989719 0.0055001 0.876323 0.275005
1655635 0.0055001 0.876323 0.275005
1324935 0.0055001 0.876323 0.275005
1041768 0.0055001 0.876323 0.275005
2706888 0.0055001 0.876323 0.275005
2576891 0.0055001 0.876323 0.275005
1312852 0.0055001 0.876323 0.275005
1855912 0.0055001 0.876323 0.275005
1002689 0.0055001 0.876323 0.275005
3036704 0.0055001 0.876323 0.275005
741063 0.0055001 0.876323 0.275005
682795 0.0055001 0.876323 0.275005
474952 0.0055001 0.876323 0.275005
474949 0.0055001 0.876323 0.275005
1473598 0.0055001 0.876323 0.275005
2741543 0.0055001 0.876323 0.275005
2818388 0.0055001 0.876323 0.275005
442870 0.0055001 0.876323 0.275005
2927978 0.0055001 0.876323 0.275005
2927979 0.0055001 0.876323 0.275005
1969733 0.0055001 0.876323 0.275005
213224 0.0055001 0.876323 0.275005
1121391 0.0055001 0.876323 0.275005
571177 0.0055001 0.876323 0.275005
419481 0.0055001 0.876323 0.275005
2292 0.0055001 0.876323 0.275005
1286635 0.0055001 0.876323 0.275005
177437 0.0055001 0.876323 0.275005
1246637 0.0055001 0.876323 0.275005
1621989 0.0055001 0.876323 0.275005
43775 0.0055001 0.876323 0.275005
56780 0.0055001 0.876323 0.275005
3058419 0.0055001 0.876323 0.275005
1429043 0.0055001 0.876323 0.275005
91360 0.0055001 0.876323 0.275005
1121416 0.0055001 0.876323 0.275005
2772557 0.0055001 0.876323 0.275005
3060442 0.0055001 0.876323 0.275005
2047767 0.0055001 0.876323 0.275005
1936021 0.0055001 0.876323 0.275005
1795632 0.0055001 0.876323 0.275005
1592317 0.0055001 0.876323 0.275005
888061 0.0055001 0.876323 0.275005
206665 0.0055001 0.876323 0.275005
1121442 0.0055001 0.876323 0.275005
1262666 0.0055001 0.876323 0.275005
563192 0.0055001 0.876323 0.275005
1121449 0.0055001 0.876323 0.275005
1121439 0.0055001 0.876323 0.275005
1721087 0.0055001 0.876323 0.275005
2678688 0.0055001 0.876323 0.275005
3126690 0.0055001 0.876323 0.275005
415242 0.0055001 0.876323 0.275005
58621 0.0055001 0.876323 0.275005
2838536 0.0055001 0.876323 0.275005
241368 0.0055001 0.876323 0.275005
2316731 0.0055001 0.876323 0.275005
2316724 0.0055001 0.876323 0.275005
83450 0.0055001 0.876323 0.275005
2905690 0.0055001 0.876323 0.275005
927083 0.0055001 0.876323 0.275005
1639882 0.0055001 0.876323 0.275005
3119007 0.0055001 0.876323 0.275005
3056748 0.0055001 0.876323 0.275005
2093360 0.0055001 0.876323 0.275005
860790 0.0055001 0.876323 0.275005
2053187 0.0055001 0.876323 0.275005
290318 0.0055001 0.876323 0.275005
1895771 0.0055001 0.876323 0.275005
716817 0.0055001 0.876323 0.275005
1196024 0.0055001 0.876323 0.275005
1469170 0.0055001 0.876323 0.275005
2173829 0.0055001 0.876323 0.275005
1577780 0.0055001 0.876323 0.275005
926562 0.0055001 0.876323 0.275005
1294296 0.0055001 0.876323 0.275005
2829795 0.0055001 0.876323 0.275005
2058658 0.0055001 0.876323 0.275005
755732 0.0055001 0.876323 0.275005
2219161 0.0055001 0.876323 0.275005
574963 0.0055001 0.876323 0.275005
867902 0.0055001 0.876323 0.275005
2509004 0.0055001 0.876323 0.275005
1585976 0.0055001 0.876323 0.275005
343874 0.0055001 0.876323 0.275005
238 0.0055001 0.876323 0.275005
1434701 0.0055001 0.876323 0.275005
395936 0.0055001 0.876323 0.275005
1423959 0.0055001 0.876323 0.275005
216903 0.0055001 0.876323 0.275005
2965509 0.0055001 0.876323 0.275005
3076079 0.0055001 0.876323 0.275005
865937 0.0055001 0.876323 0.275005
400055 0.0055001 0.876323 0.275005
1080224 0.0055001 0.876323 0.275005
691689 0.0055001 0.876323 0.275005
1159016 0.0055001 0.876323 0.275005
1656093 0.0055001 0.876323 0.275005
558155 0.0055001 0.876323 0.275005
1884876 0.0055001 0.876323 0.275005
313594 0.0055001 0.876323 0.275005
1628250 0.0055001 0.876323 0.275005
1123758 0.0055001 0.876323 0.275005
1052145 0.0055001 0.876323 0.275005
1526574 0.0055001 0.876323 0.275005
313595 0.0055001 0.876323 0.275005
1155689 0.0055001 0.876323 0.275005
1383885 0.0055001 0.876323 0.275005
2915619 0.0055001 0.876323 0.275005
1578017 0.0055001 0.876323 0.275005
2047982 0.0055001 0.876323 0.275005
1317122 0.0055001 0.876323 0.275005
2026654 0.0055001 0.876323 0.275005
229205 0.0055001 0.876323 0.275005
2502784 0.0055001 0.876323 0.275005
271156 0.0055001 0.876323 0.275005
423350 0.0055001 0.876323 0.275005
714943 0.0055001 0.876323 0.275005
1176721 0.0055001 0.876323 0.275005
2682091 0.0055001 0.876323 0.275005
2967225 0.0055001 0.876323 0.275005
538021 0.0055001 0.876323 0.275005
2303333 0.0055001 0.876323 0.275005
2597670 0.0055001 0.876323 0.275005
2793071 0.0055001 0.876323 0.275005
398050 0.0055001 0.876323 0.275005
929556 0.0055001 0.876323 0.275005
425514 0.0055001 0.876323 0.275005
485917 0.0055001 0.876323 0.275005
425513 0.0055001 0.876323 0.275005
425512 0.0055001 0.876323 0.275005
425511 0.0055001 0.876323 0.275005
390241 0.0055001 0.876323 0.275005
1241337 0.0055001 0.876323 0.275005
2679964 0.0055001 0.876323 0.275005
188932 0.0055001 0.876323 0.275005
1069985 0.0055001 0.876323 0.275005
151894 0.0055001 0.876323 0.275005
2571272 0.0055001 0.876323 0.275005
2203212 0.0055001 0.876323 0.275005
2530456 0.0055001 0.876323 0.275005
2530453 0.0055001 0.876323 0.275005
2530454 0.0055001 0.876323 0.275005
430522 0.0055001 0.876323 0.275005
363852 0.0055001 0.876323 0.275005
1476464 0.0055001 0.876323 0.275005
3113906 0.0055001 0.876323 0.275005
1346330 0.0055001 0.876323 0.275005
743722 0.0055001 0.876323 0.275005
1437280 0.0055001 0.876323 0.275005
1686402 0.0055001 0.876323 0.275005
259 0.0055001 0.876323 0.275005
2793269 0.0055001 0.876323 0.275005
2908004 0.0055001 0.876323 0.275005
1834163 0.0055001 0.876323 0.275005
1978412 0.0055001 0.876323 0.275005
1285928 0.0055001 0.876323 0.275005
3044211 0.0055001 0.876323 0.275005
1539049 0.0055001 0.876323 0.275005
1302690 0.0055001 0.876323 0.275005
